"subid","run","trial_number","block_type","congruence","trial_type","RT"
506,4,13,2,0,1,0.890276193618774
506,4,14,2,0,1,0.838886260986328
506,4,15,2,0,1,1.02751135826111
506,4,16,2,0,1,0.791448593139648
506,4,17,2,0,1,0.714930057525635
506,4,18,2,0,1,0
506,4,19,2,0,1,0.930991649627686
506,4,20,2,0,1,0.815601587295532
506,4,21,2,0,1,0.731847286224365
506,4,22,2,0,2,1.15992331504822
506,4,23,2,0,1,1.74003553390503
506,4,24,2,0,1,1.34341931343079
506,4,25,2,0,1,0
506,4,26,2,0,1,0.910983562469482
506,4,27,2,0,2,1.42897200584412
506,4,28,2,0,1,1.2416934967041
506,4,29,2,0,1,1.1264386177063
506,4,30,2,0,2,1.2350640296936
506,4,31,2,0,1,1.95115733146667
506,4,32,2,0,1,1.04355025291443
506,4,33,2,0,1,1.15916538238525
506,4,34,2,0,2,1.6673572063446
506,4,35,2,0,1,1.04660892486572
506,4,36,2,0,1,1.09073662757874
506,4,37,2,0,1,0.88750433921814
506,4,38,2,0,2,1.41870546340942
506,4,39,2,0,1,0.85542368888855
506,4,40,2,0,1,0
506,4,41,2,0,2,1.42346835136414
506,4,42,2,0,2,1.68423342704773
506,4,43,2,0,2,1.13258743286133
506,4,44,2,0,1,1.40807723999023
506,4,45,2,0,1,1.03580689430237
506,4,46,2,0,1,0.9433913230896
506,4,47,2,0,1,0.839457511901855
506,4,48,2,0,2,1.26908922195435
506,4,49,2,0,2,0
506,4,50,2,0,1,1.52829742431641
506,4,51,2,0,1,0.860445022583008
506,4,52,2,0,2,1.27995824813843
506,4,53,2,0,1,0.923385143280029
506,4,54,2,0,1,0.821102619171143
506,4,55,2,0,1,0.752163648605347
506,4,56,2,0,1,1.19600749015808
506,4,57,2,0,1,1.05455732345581
506,4,58,2,0,1,0.971474647521973
506,4,59,2,0,1,0.694595336914062
506,4,60,2,0,1,0.795552730560303
508,1,1,2,NA,1,0
508,1,2,2,NA,1,1.18173837661743
508,1,3,2,NA,1,0.769977331161499
508,1,4,2,NA,1,0.558864593505859
508,1,5,2,NA,2,1.43565058708191
508,1,6,2,NA,1,1.21627044677734
508,1,7,2,NA,1,0.620751857757568
508,1,8,2,NA,1,0.817559242248535
508,1,9,2,NA,1,0.981672286987305
508,1,10,2,NA,1,0.738356351852417
508,1,11,2,NA,1,0.678427457809448
508,1,12,2,NA,2,1.04241561889648
508,1,13,2,NA,1,1.73509049415588
508,1,14,2,NA,1,1.05048656463623
508,1,15,2,NA,1,0.722107172012329
508,1,16,2,NA,1,0.789274454116821
508,1,17,2,NA,1,0.796888589859009
508,1,18,2,NA,1,0.70509934425354
508,1,19,2,NA,1,0.796439409255981
508,1,20,2,NA,1,0.880741596221924
508,1,21,2,NA,1,0.881331205368042
508,1,22,2,NA,1,1.52331352233887
508,1,23,2,NA,1,0.902457237243652
508,1,24,2,NA,1,1.19459795951843
508,1,25,2,NA,1,0.693949222564697
508,1,26,2,NA,2,1.11820387840271
508,1,27,2,NA,2,0.969667196273804
508,1,28,2,NA,1,1.16560363769531
508,1,29,2,NA,1,0.860433578491211
508,1,30,2,NA,2,0.808416604995728
508,1,31,2,NA,1,1.44890403747559
508,1,32,2,NA,1,0.835893154144287
508,1,33,2,NA,1,0.992788314819336
508,1,34,2,NA,1,0.925521612167358
508,1,35,2,NA,2,1.71724247932434
508,1,36,2,NA,1,0.737760782241821
508,1,37,2,NA,1,0.625990390777588
508,1,38,2,NA,2,0.941393613815308
508,1,39,2,NA,1,0.680804014205933
508,1,40,2,NA,1,1.86885643005371
508,1,41,2,NA,1,0.948195457458496
508,1,42,2,NA,2,0.831923246383667
508,1,43,2,NA,1,1.25213241577148
508,1,44,2,NA,1,0.719362497329712
508,1,45,2,NA,2,0.866693496704102
508,1,46,2,NA,1,0.974826574325562
508,1,47,2,NA,1,0.734412431716919
508,1,48,2,NA,1,0.802256107330322
508,1,49,2,NA,1,0.830838441848755
508,1,50,2,NA,1,1.45918369293213
508,1,51,2,NA,1,0.742581605911255
508,1,52,2,NA,1,0
508,1,53,2,NA,2,1.00346946716309
508,1,54,2,NA,1,0.800082206726074
508,1,55,2,NA,1,0.655142307281494
508,1,56,2,NA,2,1.31115221977234
508,1,57,2,NA,2,0.806638479232788
508,1,58,2,NA,1,1.29018640518188
508,1,59,2,NA,1,1.43770003318787
508,1,60,2,NA,1,0.681742906570435
508,2,1,2,1,1,0
508,2,2,2,1,1,1.04294896125793
508,2,3,2,1,1,0.878572225570679
508,2,4,2,1,1,0.930567502975464
508,2,5,2,1,1,0.805911064147949
508,2,6,2,1,2,1.20154547691345
508,2,7,2,1,1,1.10954833030701
508,2,8,2,1,1,1.18559122085571
508,2,9,2,1,1,0.580845594406128
508,2,10,2,1,1,0.728913307189941
508,2,11,2,1,2,0.980473279953003
508,2,12,2,1,1,1.65588283538818
508,2,13,2,1,2,1.5477979183197
508,2,14,2,1,1,0
508,2,15,2,1,2,1.40404343605042
508,2,16,2,1,1,1.07265281677246
508,2,17,2,1,1,0.684736490249634
508,2,18,2,1,1,0.59860110282898
508,2,19,2,1,1,0.754871368408203
508,2,20,2,1,1,1.11081027984619
508,2,21,2,1,1,0.786111831665039
508,2,22,2,1,1,0.911087512969971
