PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39033226","Cognitive tasks, anatomical MRI, and functional MRI data evaluating the construct of self-regulation","Bissett PG, Eisenberg IW, Shim S, Rios JAH, Jones HM, Hagen MP, Enkavi AZ, Li JK, Mumford JA, MacKinnon DP, Marsch LA, Poldrack RA.","Sci Data. 2024 Jul 20;11(1):809. doi: 10.1038/s41597-024-03636-y.","Bissett PG","Sci Data","2024","2024/07/20","PMC11271451","","10.1038/s41597-024-03636-y"
"10978708","Modulation of task-related neural activity in task-switching: an fMRI study","Kimberg DY, Aguirre GK, D'Esposito M.","Brain Res Cogn Brain Res. 2000 Sep;10(1-2):189-96. doi: 10.1016/s0926-6410(00)00016-1.","Kimberg DY","Brain Res Cogn Brain Res","2000","2000/09/09","","","10.1016/s0926-6410(00)00016-1"
"26068119","Stochastic Dynamics Underlying Cognitive Stability and Flexibility","Ueltzhöffer K, Armbruster-Genç DJ, Fiebach CJ.","PLoS Comput Biol. 2015 Jun 12;11(6):e1004331. doi: 10.1371/journal.pcbi.1004331. eCollection 2015 Jun.","Ueltzhöffer K","PLoS Comput Biol","2015","2015/06/13","PMC4466596","","10.1371/journal.pcbi.1004331"
"32959167","A Systematic Review of the Application of Functional Near-Infrared Spectroscopy to the Study of Cerebral Hemodynamics in Healthy Aging","Yeung MK, Chan AS.","Neuropsychol Rev. 2021 Mar;31(1):139-166. doi: 10.1007/s11065-020-09455-3. Epub 2020 Sep 22.","Yeung MK","Neuropsychol Rev","2021","2020/09/22","","","10.1007/s11065-020-09455-3"
"16436686","Fractionating attentional control using event-related fMRI","Hampshire A, Owen AM.","Cereb Cortex. 2006 Dec;16(12):1679-89. doi: 10.1093/cercor/bhj116. Epub 2006 Jan 25.","Hampshire A","Cereb Cortex","2006","2006/01/27","","","10.1093/cercor/bhj116"
"36067733","Frontostriatal Circuits Alterations Associated with Cognitive Flexibility Deterioration in Huntington's Disease","Padron-Rivera G, Romero-Molina AO, Diaz R, Vaca-Palomares I, Ochoa-Morales A, Romero-Rebollar C, Chirino-Pérez A, Fernandez-Ruiz J.","Neurodegener Dis. 2022;22(1):24-28. doi: 10.1159/000526778. Epub 2022 Sep 6.","Padron-Rivera G","Neurodegener Dis","2022","2022/09/06","","","10.1159/000526778"
"19199425","Discrete object representation, attention switching, and task difficulty in the parietal lobe","Cusack R, Mitchell DJ, Duncan J.","J Cogn Neurosci. 2010 Jan;22(1):32-47. doi: 10.1162/jocn.2009.21194.","Cusack R","J Cogn Neurosci","2010","2009/02/10","","","10.1162/jocn.2009.21194"
"30141727","An fMRI Pilot Study of Cognitive Flexibility in Trichotillomania","Grant JE, Daws R, Hampshire A, Chamberlain SR.","J Neuropsychiatry Clin Neurosci. 2018 Fall;30(4):318-324. doi: 10.1176/appi.neuropsych.18030038. Epub 2018 Aug 24.","Grant JE","J Neuropsychiatry Clin Neurosci","2018","2018/08/25","PMC6276993","EMS79340","10.1176/appi.neuropsych.18030038"
"36094955","Thalamic regulation of frontal interactions in human cognitive flexibility","Hummos A, Wang BA, Drammis S, Halassa MM, Pleger B.","PLoS Comput Biol. 2022 Sep 12;18(9):e1010500. doi: 10.1371/journal.pcbi.1010500. eCollection 2022 Sep.","Hummos A","PLoS Comput Biol","2022","2022/09/12","PMC9499289","","10.1371/journal.pcbi.1010500"
"34171095","Aberrant Claustrum Microstructure in Humans after Premature Birth","Hedderich DM, Menegaux A, Li H, Schmitz-Koep B, Stämpfli P, Bäuml JG, Berndt MT, Bäuerlein FJB, Grothe MJ, Dyrba M, Avram M, Boecker H, Daamen M, Zimmer C, Bartmann P, Wolke D, Sorg C.","Cereb Cortex. 2021 Oct 22;31(12):5549-5559. doi: 10.1093/cercor/bhab178.","Hedderich DM","Cereb Cortex","2021","2021/06/25","","","10.1093/cercor/bhab178"
